product_id,product_name,category,brand,unit_price,cost_price,is_active,created_date
PROD00001,PrimeEdge Monitor,Electronics,PrimeEdge,368.54,255.95,true,2023-08-04
PROD00002,ZenStyle Speaker,Electronics,ZenStyle,125.07,107.19,true,2023-01-02
PROD00003,UrbanLine Monitor,Electronics,UrbanLine,44.43,24.91,true,2023-12-19
PROD00004,GlowCare Mouse,Electronics,GlowCare,24.38,19.48,true,2022-06-18
PROD00005,GlowCare Speaker,Electronics,GlowCare,74.42,55.15,true,2023-06-24
PROD00006,BrightKart Keyboard,Electronics,BrightKart,212.58,119.97,true,2022-09-26
PROD00007,ZenStyle Monitor,Electronics,ZenStyle,59.15,39.43,true,2023-04-14
PROD00008,PeakFit Speaker,Electronics,PeakFit,360.76,223.25,true,2022-08-29
PROD00009,GlowCare Monitor,Electronics,GlowCare,256.11,178.5,true,2022-08-21
PROD00010,ZenStyle Keyboard,Electronics,ZenStyle,430.77,269.31,true,2024-08-08
PROD00011,CoreMax Headphones,Electronics,CoreMax,433.83,249.71,true,2022-10-13
PROD00012,AeroWave Monitor,Electronics,AeroWave,316.01,257.21,true,2022-11-18
PROD00013,AeroWave Mouse,Electronics,AeroWave,308.02,200.25,true,2023-08-01
PROD00014,ZenStyle Headphones,Electronics,ZenStyle,420.9,268.56,true,2024-07-16
PROD00015,AeroWave Mouse,Electronics,AeroWave,339.45,290.77,true,2021-05-26
PROD00016,UrbanLine Keyboard,Electronics,UrbanLine,308.97,233.99,true,2023-08-23
PROD00017,PrimeEdge Mouse,Electronics,PrimeEdge,88.81,56.75,false,2024-07-06
PROD00018,BrightKart Mouse,Electronics,BrightKart,169.0,137.1,true,2023-01-22
PROD00019,PeakFit Mouse,Electronics,PeakFit,171.72,101.32,true,2023-08-19
PROD00020,AeroWave Speaker,Electronics,AeroWave,165.4,132.17,true,2022-09-23
PROD00021,HomeNest Mouse,Electronics,HomeNest,167.73,134.14,true,2021-11-12
PROD00022,PeakFit Keyboard,Electronics,PeakFit,24.1,20.13,true,2022-08-23
PROD00023,NovaTech Monitor,Electronics,NovaTech,195.2,139.99,true,2021-05-07
PROD00024,CoreMax Mouse,Electronics,CoreMax,166.57,141.09,true,2023-07-14
PROD00025,PeakFit Monitor,Electronics,PeakFit,136.72,115.31,true,2021-11-26
PROD00026,AeroWave Speaker,Electronics,AeroWave,203.43,119.97,false,2022-02-04
PROD00027,AeroWave Headphones,Electronics,AeroWave,314.95,221.08,true,2021-03-27
PROD00028,BrightKart Speaker,Electronics,BrightKart,334.79,273.57,true,2024-01-13
PROD00029,GlowCare Mouse,Electronics,GlowCare,249.53,202.49,true,2022-05-28
PROD00030,UrbanLine Mouse,Electronics,UrbanLine,58.01,35.53,true,2024-10-19
PROD00031,CoreMax Headphones,Electronics,CoreMax,254.34,173.07,true,2022-09-02
PROD00032,PeakFit Monitor,Electronics,PeakFit,98.21,77.26,true,2021-09-03
PROD00033,UrbanLine Mouse,Electronics,UrbanLine,266.22,182.68,true,2024-03-26
PROD00034,AeroWave Headphones,Electronics,AeroWave,219.8,159.29,true,2022-07-09
PROD00035,PeakFit Mouse,Electronics,PeakFit,85.3,57.95,true,2022-08-11
PROD00036,NovaTech Headphones,Electronics,NovaTech,405.06,279.87,true,2021-10-21
PROD00037,GlowCare Monitor,Electronics,GlowCare,330.93,187.28,true,2023-11-04
PROD00038,BrightKart Keyboard,Electronics,BrightKart,199.14,148.56,true,2023-03-26
PROD00039,ZenStyle Headphones,Electronics,ZenStyle,417.51,233.26,true,2024-09-29
PROD00040,HomeNest Monitor,Electronics,HomeNest,447.93,272.14,true,2021-04-28
PROD00041,UrbanLine Headphones,Electronics,UrbanLine,284.59,242.93,true,2021-12-19
PROD00042,HomeNest Keyboard,Electronics,HomeNest,223.59,161.24,true,2021-10-30
PROD00043,ZenStyle Monitor,Electronics,ZenStyle,137.77,103.95,true,2021-03-03
PROD00044,PeakFit Keyboard,Electronics,PeakFit,124.93,82.86,false,2023-03-29
PROD00045,BrightKart Mouse,Electronics,BrightKart,25.86,15.22,true,2023-05-07
PROD00046,AeroWave Monitor,Electronics,AeroWave,136.35,100.84,true,2024-04-14
PROD00047,PrimeEdge Keyboard,Electronics,PrimeEdge,205.68,173.39,true,2022-09-02
PROD00048,BrightKart Headphones,Electronics,BrightKart,303.44,185.73,true,2022-10-01
PROD00049,UrbanLine Monitor,Electronics,UrbanLine,35.33,19.88,true,2024-09-17
PROD00050,GlowCare Mouse,Electronics,GlowCare,140.38,91.66,true,2022-06-28
PROD00051,ZenStyle Monitor,Electronics,ZenStyle,328.13,260.73,true,2023-07-28
PROD00052,NovaTech Mouse,Electronics,NovaTech,93.14,65.65,true,2022-05-02
PROD00053,GlowCare Keyboard,Electronics,GlowCare,161.74,122.11,true,2023-03-25
PROD00054,CoreMax Mouse,Electronics,CoreMax,396.2,229.21,true,2021-06-24
PROD00055,NovaTech Speaker,Electronics,NovaTech,371.96,273.87,true,2022-04-27
PROD00056,BrightKart Keyboard,Electronics,BrightKart,177.22,148.14,true,2021-06-07
PROD00057,AeroWave Speaker,Electronics,AeroWave,53.18,38.65,true,2024-10-27
PROD00058,PrimeEdge Keyboard,Electronics,PrimeEdge,42.71,27.77,true,2021-10-26
PROD00059,PeakFit Speaker,Electronics,PeakFit,363.77,277.6,true,2021-05-25
PROD00060,AeroWave Monitor,Electronics,AeroWave,348.06,238.24,true,2021-06-27
PROD00061,AeroWave Monitor,Electronics,AeroWave,257.92,205.49,true,2023-01-16
PROD00062,HomeNest Speaker,Electronics,HomeNest,154.88,133.62,false,2024-02-21
PROD00063,GlowCare Keyboard,Electronics,GlowCare,24.41,19.06,true,2023-08-25
PROD00064,BrightKart Keyboard,Electronics,BrightKart,312.89,255.83,false,2022-01-09
PROD00065,CoreMax Monitor,Electronics,CoreMax,195.66,124.71,true,2024-01-16
PROD00066,PrimeEdge Monitor,Electronics,PrimeEdge,155.88,113.92,true,2021-02-21
PROD00067,PeakFit Keyboard,Electronics,PeakFit,205.19,147.94,false,2022-02-18
PROD00068,GlowCare Headphones,Electronics,GlowCare,165.85,143.75,true,2024-02-22
PROD00069,HomeNest Keyboard,Electronics,HomeNest,167.13,138.52,true,2024-10-29
PROD00070,ZenStyle Keyboard,Electronics,ZenStyle,151.97,90.16,true,2024-03-10
PROD00071,PeakFit Speaker,Electronics,PeakFit,304.88,191.1,true,2024-06-28
PROD00072,AeroWave Speaker,Electronics,AeroWave,120.46,81.71,true,2021-09-15
PROD00073,HomeNest Keyboard,Electronics,HomeNest,458.72,282.27,true,2022-03-15
PROD00074,NovaTech Mouse,Electronics,NovaTech,259.32,205.32,true,2021-06-25
PROD00075,PrimeEdge Mouse,Electronics,PrimeEdge,238.96,153.19,true,2021-06-04
PROD00076,PrimeEdge Headphones,Electronics,PrimeEdge,405.14,240.83,true,2024-05-13
PROD00077,NovaTech Speaker,Electronics,NovaTech,128.42,82.52,true,2023-03-18
PROD00078,PeakFit Monitor,Electronics,PeakFit,494.35,298.61,true,2021-09-18
PROD00079,AeroWave Monitor,Electronics,AeroWave,226.24,182.68,true,2022-04-22
PROD00080,PeakFit Monitor,Electronics,PeakFit,74.36,59.68,true,2022-12-15
PROD00081,AeroWave Keyboard,Electronics,AeroWave,24.01,19.8,false,2024-03-30
PROD00082,PrimeEdge Keyboard,Electronics,PrimeEdge,402.61,280.04,true,2021-07-17
PROD00083,AeroWave Monitor,Electronics,AeroWave,439.86,245.37,true,2023-05-15
PROD00084,BrightKart Speaker,Electronics,BrightKart,99.63,56.18,false,2022-10-28
PROD00085,HomeNest Keyboard,Electronics,HomeNest,251.73,176.41,true,2022-11-30
PROD00086,PeakFit Mouse,Electronics,PeakFit,274.62,194.22,true,2023-09-08
PROD00087,CoreMax Headphones,Electronics,CoreMax,52.8,30.29,true,2024-09-10
PROD00088,PeakFit Monitor,Electronics,PeakFit,94.45,62.03,false,2024-12-24
PROD00089,GlowCare Speaker,Electronics,GlowCare,398.57,292.15,true,2021-04-22
PROD00090,BrightKart Keyboard,Electronics,BrightKart,278.71,176.19,true,2022-11-28
PROD00091,ZenStyle Monitor,Electronics,ZenStyle,455.07,265.26,true,2022-12-29
PROD00092,PrimeEdge Speaker,Electronics,PrimeEdge,48.2,27.19,true,2023-04-25
PROD00093,BrightKart Monitor,Electronics,BrightKart,29.36,23.13,true,2023-02-14
PROD00094,PrimeEdge Mouse,Electronics,PrimeEdge,356.79,214.23,true,2024-11-06
PROD00095,HomeNest Mouse,Electronics,HomeNest,158.92,137.84,true,2022-02-08
PROD00096,GlowCare Keyboard,Electronics,GlowCare,313.6,184.09,true,2023-05-31
PROD00097,ZenStyle Headphones,Electronics,ZenStyle,235.53,143.04,true,2021-10-30
PROD00098,UrbanLine Keyboard,Electronics,UrbanLine,410.79,258.06,true,2024-08-15
PROD00099,ZenStyle Speaker,Electronics,ZenStyle,91.36,61.58,false,2021-02-27
PROD00100,ZenStyle Mouse,Electronics,ZenStyle,94.18,65.18,true,2021-03-06
PROD00101,AeroWave Storage Box,Home,AeroWave,266.98,164.43,true,2021-01-31
PROD00102,HomeNest Lamp,Home,HomeNest,66.44,54.65,true,2022-10-06
PROD00103,UrbanLine Vacuum,Home,UrbanLine,393.07,289.75,true,2022-02-18
PROD00104,UrbanLine Lamp,Home,UrbanLine,373.93,210.55,false,2024-10-11
PROD00105,BrightKart Chair,Home,BrightKart,122.08,72.92,true,2022-06-19
PROD00106,AeroWave Chair,Home,AeroWave,448.89,262.13,true,2022-05-13
PROD00107,PeakFit Storage Box,Home,PeakFit,122.59,100.48,true,2024-01-21
PROD00108,PeakFit Lamp,Home,PeakFit,25.58,14.62,true,2024-03-12
PROD00109,GlowCare Storage Box,Home,GlowCare,159.25,105.59,true,2021-12-22
PROD00110,AeroWave Vacuum,Home,AeroWave,223.87,140.95,true,2024-03-19
PROD00111,CoreMax Storage Box,Home,CoreMax,416.46,291.7,true,2023-01-27
PROD00112,PrimeEdge Storage Box,Home,PrimeEdge,109.54,62.66,true,2022-05-25
PROD00113,UrbanLine Vacuum,Home,UrbanLine,112.06,64.09,true,2021-08-16
PROD00114,ZenStyle Blender,Home,ZenStyle,356.05,209.24,true,2023-06-02
PROD00115,NovaTech Blender,Home,NovaTech,129.38,99.02,true,2024-10-28
PROD00116,HomeNest Blender,Home,HomeNest,141.52,117.85,true,2024-12-06
PROD00117,NovaTech Blender,Home,NovaTech,210.15,128.19,true,2022-05-06
PROD00118,UrbanLine Lamp,Home,UrbanLine,207.25,138.76,false,2022-09-12
PROD00119,PrimeEdge Blender,Home,PrimeEdge,288.03,232.04,false,2023-05-23
PROD00120,NovaTech Lamp,Home,NovaTech,129.13,85.49,true,2024-06-09
PROD00121,PrimeEdge Chair,Home,PrimeEdge,277.85,227.99,true,2023-06-28
PROD00122,AeroWave Blender,Home,AeroWave,394.41,224.3,true,2024-11-14
PROD00123,GlowCare Blender,Home,GlowCare,15.26,9.21,true,2024-05-29
PROD00124,AeroWave Vacuum,Home,AeroWave,95.57,77.8,true,2022-10-31
PROD00125,BrightKart Vacuum,Home,BrightKart,361.24,252.19,true,2024-12-16
PROD00126,GlowCare Storage Box,Home,GlowCare,29.93,19.41,true,2021-09-15
PROD00127,AeroWave Blender,Home,AeroWave,126.37,88.0,false,2024-07-18
PROD00128,GlowCare Storage Box,Home,GlowCare,38.58,31.26,true,2024-06-16
PROD00129,HomeNest Blender,Home,HomeNest,204.07,125.56,true,2023-11-10
PROD00130,PeakFit Vacuum,Home,PeakFit,230.32,154.59,true,2021-08-26
PROD00131,PrimeEdge Lamp,Home,PrimeEdge,268.15,187.8,true,2022-03-19
PROD00132,AeroWave Lamp,Home,AeroWave,259.92,163.06,true,2024-06-18
PROD00133,PrimeEdge Chair,Home,PrimeEdge,234.29,141.66,true,2022-05-22
PROD00134,CoreMax Vacuum,Home,CoreMax,449.58,279.7,false,2021-10-31
PROD00135,GlowCare Vacuum,Home,GlowCare,114.94,71.84,true,2023-05-13
PROD00136,CoreMax Lamp,Home,CoreMax,182.04,151.71,true,2023-06-15
PROD00137,AeroWave Lamp,Home,AeroWave,247.46,181.11,true,2024-05-25
PROD00138,NovaTech Vacuum,Home,NovaTech,198.07,130.37,false,2022-11-21
PROD00139,PrimeEdge Lamp,Home,PrimeEdge,117.42,82.78,true,2024-05-27
PROD00140,PeakFit Blender,Home,PeakFit,215.85,158.55,true,2021-09-06
PROD00141,HomeNest Storage Box,Home,HomeNest,349.3,211.74,true,2022-03-26
PROD00142,PrimeEdge Vacuum,Home,PrimeEdge,281.3,212.92,true,2022-12-31
PROD00143,NovaTech Vacuum,Home,NovaTech,255.38,176.04,true,2021-10-29
PROD00144,CoreMax Lamp,Home,CoreMax,396.54,286.42,true,2021-03-09
PROD00145,AeroWave Chair,Home,AeroWave,82.23,51.87,true,2024-07-27
PROD00146,HomeNest Chair,Home,HomeNest,198.66,113.61,true,2023-02-18
PROD00147,ZenStyle Chair,Home,ZenStyle,375.41,237.86,true,2024-03-14
PROD00148,AeroWave Blender,Home,AeroWave,43.45,27.69,false,2021-02-27
PROD00149,UrbanLine Vacuum,Home,UrbanLine,251.22,188.33,true,2021-12-14
PROD00150,BrightKart Vacuum,Home,BrightKart,57.18,35.25,true,2021-08-31
PROD00151,NovaTech Blender,Home,NovaTech,237.23,156.45,true,2021-04-18
PROD00152,AeroWave Lamp,Home,AeroWave,49.71,30.97,false,2021-02-28
PROD00153,PrimeEdge Lamp,Home,PrimeEdge,245.3,208.04,true,2022-09-15
PROD00154,ZenStyle Vacuum,Home,ZenStyle,86.84,57.06,true,2023-01-29
PROD00155,HomeNest Lamp,Home,HomeNest,187.08,147.07,false,2021-02-27
PROD00156,ZenStyle Storage Box,Home,ZenStyle,171.49,106.75,true,2022-10-04
PROD00157,GlowCare Storage Box,Home,GlowCare,149.47,88.65,true,2022-02-05
PROD00158,CoreMax Lamp,Home,CoreMax,223.39,165.49,true,2022-12-03
PROD00159,NovaTech Storage Box,Home,NovaTech,88.54,66.12,true,2021-04-19
PROD00160,GlowCare Lamp,Home,GlowCare,36.84,31.31,true,2021-04-11
PROD00161,GlowCare Vacuum,Home,GlowCare,285.15,242.34,true,2024-08-01
PROD00162,GlowCare Lamp,Home,GlowCare,341.82,278.54,true,2024-10-30
PROD00163,HomeNest Lamp,Home,HomeNest,142.09,88.99,true,2024-12-22
PROD00164,ZenStyle Chair,Home,ZenStyle,61.07,37.75,true,2021-07-24
PROD00165,PeakFit Storage Box,Home,PeakFit,44.97,32.15,true,2023-06-08
PROD00166,PeakFit Storage Box,Home,PeakFit,344.55,288.67,true,2023-08-03
PROD00167,UrbanLine Storage Box,Home,UrbanLine,322.57,204.17,true,2024-01-20
PROD00168,HomeNest Lamp,Home,HomeNest,417.24,275.93,true,2024-03-28
PROD00169,PeakFit Chair,Home,PeakFit,381.08,240.34,true,2023-07-11
PROD00170,HomeNest Vacuum,Home,HomeNest,336.0,235.79,true,2024-09-12
PROD00171,PrimeEdge Chair,Home,PrimeEdge,252.53,198.37,true,2023-07-14
PROD00172,BrightKart Storage Box,Home,BrightKart,140.2,78.46,true,2021-11-29
PROD00173,PeakFit Chair,Home,PeakFit,117.76,73.3,false,2021-10-22
PROD00174,UrbanLine Lamp,Home,UrbanLine,199.39,145.09,true,2022-06-20
PROD00175,PrimeEdge Chair,Home,PrimeEdge,28.38,18.1,true,2024-06-28
PROD00176,PeakFit Blender,Home,PeakFit,221.39,158.75,true,2024-06-13
PROD00177,PrimeEdge Lamp,Home,PrimeEdge,473.45,285.48,true,2021-02-20
PROD00178,HomeNest Blender,Home,HomeNest,122.26,69.95,true,2023-06-30
PROD00179,HomeNest Vacuum,Home,HomeNest,382.05,284.67,true,2021-12-31
PROD00180,BrightKart Storage Box,Home,BrightKart,186.66,120.41,true,2022-04-28
PROD00181,CoreMax Vacuum,Home,CoreMax,145.81,106.8,true,2021-02-25
PROD00182,UrbanLine Chair,Home,UrbanLine,472.86,294.69,true,2024-10-21
PROD00183,GlowCare Vacuum,Home,GlowCare,226.27,167.42,false,2021-10-17
PROD00184,GlowCare Blender,Home,GlowCare,26.56,21.8,true,2023-08-13
PROD00185,PeakFit Lamp,Home,PeakFit,89.36,55.17,true,2023-07-24
PROD00186,PrimeEdge Storage Box,Home,PrimeEdge,29.02,21.12,true,2024-07-08
PROD00187,HomeNest Storage Box,Home,HomeNest,203.49,174.38,true,2021-12-27
PROD00188,UrbanLine Vacuum,Home,UrbanLine,283.64,218.32,true,2021-09-26
PROD00189,NovaTech Chair,Home,NovaTech,515.73,296.24,false,2023-07-19
PROD00190,AeroWave Storage Box,Home,AeroWave,354.8,246.18,true,2021-08-23
PROD00191,HomeNest Blender,Home,HomeNest,222.2,141.68,true,2024-05-28
PROD00192,HomeNest Lamp,Home,HomeNest,353.71,212.07,true,2022-12-16
PROD00193,BrightKart Blender,Home,BrightKart,222.96,131.68,false,2024-06-05
PROD00194,PeakFit Chair,Home,PeakFit,212.24,149.29,true,2022-03-02
PROD00195,AeroWave Vacuum,Home,AeroWave,283.22,175.25,true,2021-12-29
PROD00196,AeroWave Storage Box,Home,AeroWave,507.93,288.78,true,2021-11-23
PROD00197,PeakFit Storage Box,Home,PeakFit,294.12,181.39,false,2021-03-09
PROD00198,GlowCare Storage Box,Home,GlowCare,315.37,263.07,true,2023-10-18
PROD00199,ZenStyle Lamp,Home,ZenStyle,167.52,131.14,true,2024-02-12
PROD00200,BrightKart Vacuum,Home,BrightKart,463.53,280.88,true,2024-01-18
PROD00201,ZenStyle Bottle,Sports,ZenStyle,204.79,133.91,true,2024-10-18
PROD00202,NovaTech Resistance Band,Sports,NovaTech,151.24,99.86,true,2021-04-18
PROD00203,PrimeEdge Resistance Band,Sports,PrimeEdge,336.49,220.26,true,2022-11-22
PROD00204,AeroWave Yoga Mat,Sports,AeroWave,205.12,177.84,false,2021-10-09
PROD00205,CoreMax Resistance Band,Sports,CoreMax,188.75,139.63,true,2023-05-20
PROD00206,PrimeEdge Resistance Band,Sports,PrimeEdge,210.58,152.36,true,2021-04-07
